# Team Round-Robin Tournament Solution for n=34, m=17
# EXTRA: No player goes first/second 3 rounds in a row
# 额外约束：任何队员都不能连续三轮执先或连续三轮执后
# Solved by CP-SAT in 32.3s
# Format: player LEFT of '-' goes first

第1轮 A1-B1 A2-B2 B3-A3 A4-B4 B5-A5 B6-A6 A7-B7 B8-A8 B9-A9 B10-A10 A11-B11 B12-A12 A13-B13 A14-B14 B15-A15 A16-B16 B17-A17 B18-A18 A19-B19 A20-B20 B21-A21 A22-B22 B23-A23 B24-A24 A25-B25 B26-A26 B27-A27 B28-A28 A29-B29 A30-B30 A31-B31 A32-B32 B33-A33 A34-B34
第25轮 A1-B12 B18-A2 B13-A3 A4-B28 A5-B15 B5-A6 B11-A7 A8-B4 A9-B10 B20-A10 B31-A11 B24-A12 A13-B23 B33-A14 A15-B14 B30-A16 B9-A17 A18-B3 A19-B32 A20-B17 B22-A21 B29-A22 A23-B19 A24-B2 B27-A25 B1-A26 A27-B26 B6-A28 A29-B25 A30-B8 B7-A31 A32-B21 B34-A33 A34-B16
第26轮 B11-A1 A2-B15 A3-B27 B23-A4 B17-A5 A6-B13 A7-B31 B10-A8 B29-A9 A10-B34 A11-B5 A12-B30 B3-A13 A14-B18 B9-A15 A16-B6 A17-B21 A18-B7 B8-A19 A20-B33 A21-B1 B25-A22 B28-A23 B26-A24 A25-B24 B2-A26 B4-A27 B22-A28 A29-B32 A30-B16 A31-B20 B19-A32 B12-A33 B14-A34
第27轮 B10-A1 A2-B19 B2-A3 A4-B5 A5-B25 A6-B27 B15-A7 A8-B22 A9-B12 A10-B11 B34-A11 B33-A12 A13-B6 B21-A14 B32-A15 A16-B8 A17-B3 B26-A18 B23-A19 B28-A20 B30-A21 A22-B18 A23-B4 B13-A24 B7-A25 A26-B14 A27-B17 A28-B1 B20-A29 B24-A30 B16-A31 B31-A32 A33-B9 A34-B29
第28轮 A1-B9 B5-A2 A3-B31 A4-B33 A5-B28 B14-A6 A7-B21 A8-B32 A9-B23 B27-A10 B24-A11 A12-B20 B1-A13 B22-A14 A15-B19 B25-A16 B16-A17 B17-A18 A19-B34 A20-B2 A21-B12 B11-A22 B18-A23 A24-B30 A25-B13 B3-A26 B8-A27 A28-B15 B6-A29 B29-A30 B4-A31 A32-B26 A33-B10 B7-A34
第29轮 B8-A1 B6-A2 B12-A3 B34-A4 B18-A5 A6-B7 A7-B30 B9-A8 B31-A9 A10-B22 A11-B23 B13-A12 B32-A13 A14-B4 B25-A15 A16-B17 A17-B29 A18-B14 B11-A19 B19-A20 B28-A21 B20-A22 A23-B3 B15-A24 A25-B21 A26-B16 A27-B33 B27-A28 A29-B24 A30-B26 A31-B10 A32-B5 B1-A33 A34-B2
第30轮 A1-B7 A2-B12 B30-A3 A4-B27 A5-B13 B16-A6 B9-A7 A8-B1 B34-A9 A10-B14 B26-A11 B22-A12 A13-B4 B17-A14 A15-B6 B21-A16 B24-A17 A18-B25 A19-B20 A20-B32 A21-B19 A22-B15 B29-A23 A24-B28 B31-A25 A26-B8 B3-A27 B10-A28 B2-A29 B33-A30 A31-B11 B23-A32 A33-B18 B5-A34
第31轮 B6-A1 B30-A2 A3-B15 A4-B8 B26-A5 B11-A6 B23-A7 A8-B3 A9-B16 B24-A10 A11-B2 A12-B29 B7-A13 A14-B25 B4-A15 A16-B28 A17-B27 B32-A18 A19-B17 A20-B22 B14-A21 B1-A22 A23-B33 B19-A24 B20-A25 B12-A26 A27-B9 A28-B21 A29-B31 A30-B34 B13-A31 A32-B18 B5-A33 B10-A34
第32轮 A1-B5 B14-A2 B28-A3 B2-A4 A5-B30 A6-B10 A7-B33 B31-A8 A9-B20 A10-B7 B9-A11 B25-A12 A13-B26 B6-A14 A15-B22 B15-A16 A17-B19 B27-A18 B29-A19 B18-A20 A21-B3 A22-B24 B12-A23 A24-B4 A25-B1 A26-B32 B16-A27 B8-A28 B34-A29 B17-A30 B21-A31 A32-B13 A33-B23 A34-B11
第33轮 A1-B4 A2-B28 A3-B17 A4-B21 B31-A5 B24-A6 A7-B10 A8-B23 B8-A9 B3-A10 A11-B16 B32-A12 B19-A13 A14-B34 B20-A15 A16-B13 B25-A17 A18-B6 A19-B14 A20-B15 B7-A21 A22-B27 B11-A23 B22-A24 B2-A25 B30-A26 A27-B12 B18-A28 A29-B9 A30-B5 A31-B29 B33-A32 B26-A33 B1-A34
第34轮 B3-A1 A2-B11 A3-B18 B13-A4 B10-A5 A6-B8 B4-A7 B29-A8 B5-A9 B26-A10 A11-B6 A12-B9 B16-A13 A14-B27 B7-A15 B22-A16 B30-A17 A18-B1 A19-B21 B14-A20 A21-B34 B33-A22 A23-B2 A24-B31 B15-A25 A26-B24 A27-B28 A28-B20 B12-A29 B23-A30 A31-B32 A32-B25 A33-B19 B17-A34

# Verification
# ALL CHECKS PASSED
# - All 1156 pairs exactly once
# - Each round: 17 A-first, 17 B-first
# - Each player: first=17, second=17
# - No 3 consecutive first or second for any player
