# Team Round-Robin Tournament Solution for n=34, m=17
# 全队循环赛编排方案 n=34, m=17
# Solved by CP-SAT in 27.9s
# Format: player LEFT of '-' goes first / "-"左边的队员执先

第1轮 A1-B1 A2-B2 A3-B3 A4-B4 A5-B5 A6-B6 A7-B7 A8-B8 A9-B9 A10-B10 A11-B11 A12-B12 A13-B13 A14-B14 A15-B15 A16-B16 A17-B17 B18-A18 B19-A19 B20-A20 B21-A21 B22-A22 B23-A23 B24-A24 B25-A25 B26-A26 B27-A27 B28-A28 B29-A29 B30-A30 B31-A31 B32-A32 B33-A33 B34-A34
第25轮 A1-B12 A2-B18 B13-A3 A4-B28 A5-B15 B5-A6 B11-A7 B4-A8 B10-A9 A10-B20 B31-A11 A12-B24 A13-B23 A14-B33 A15-B14 B30-A16 A17-B9 A18-B3 B32-A19 B17-A20 B22-A21 A22-B29 B19-A23 B2-A24 A25-B27 A26-B1 A27-B26 A28-B6 B25-A29 B8-A30 B7-A31 B21-A32 B34-A33 A34-B16
第26轮 B11-A1 A2-B15 B27-A3 B23-A4 A5-B17 B13-A6 A7-B31 B10-A8 B29-A9 B34-A10 B5-A11 A12-B30 A13-B3 B18-A14 B9-A15 B6-A16 B21-A17 A18-B7 B8-A19 A20-B33 B1-A21 B25-A22 A23-B28 B26-A24 A25-B24 A26-B2 A27-B4 A28-B22 B32-A29 A30-B16 A31-B20 A32-B19 A33-B12 A34-B14
第27轮 A1-B10 A2-B19 B2-A3 B5-A4 B25-A5 B27-A6 B15-A7 A8-B22 A9-B12 B11-A10 A11-B34 B33-A12 B6-A13 B21-A14 B32-A15 A16-B8 A17-B3 B26-A18 B23-A19 B28-A20 B30-A21 A22-B18 A23-B4 A24-B13 A25-B7 B14-A26 A27-B17 B1-A28 A29-B20 A30-B24 A31-B16 B31-A32 A33-B9 A34-B29
第28轮 B9-A1 A2-B5 A3-B31 A4-B33 B28-A5 A6-B14 B21-A7 B32-A8 B23-A9 A10-B27 B24-A11 B20-A12 B1-A13 A14-B22 A15-B19 A16-B25 A17-B16 B17-A18 B34-A19 B2-A20 B12-A21 A22-B11 B18-A23 A24-B30 A25-B13 A26-B3 A27-B8 B15-A28 B6-A29 B29-A30 B4-A31 A32-B26 A33-B10 A34-B7
第29轮 A1-B8 B6-A2 A3-B12 B34-A4 A5-B18 B7-A6 B30-A7 B9-A8 A9-B31 A10-B22 A11-B23 B13-A12 B32-A13 B4-A14 A15-B25 B17-A16 A17-B29 B14-A18 B11-A19 B19-A20 A21-B28 A22-B20 B3-A23 B15-A24 A25-B21 A26-B16 A27-B33 A28-B27 B24-A29 A30-B26 B10-A31 B5-A32 A33-B1 A34-B2
第30轮 B7-A1 B12-A2 A3-B30 A4-B27 A5-B13 A6-B16 B9-A7 B1-A8 B34-A9 A10-B14 B26-A11 B22-A12 A13-B4 B17-A14 B6-A15 B21-A16 B24-A17 A18-B25 A19-B20 B32-A20 A21-B19 B15-A22 A23-B29 A24-B28 A25-B31 B8-A26 B3-A27 A28-B10 A29-B2 B33-A30 A31-B11 A32-B23 A33-B18 B5-A34
第31轮 A1-B6 B30-A2 B15-A3 A4-B8 A5-B26 A6-B11 A7-B23 A8-B3 B16-A9 B24-A10 A11-B2 A12-B29 B7-A13 B25-A14 A15-B4 A16-B28 B27-A17 A18-B32 A19-B17 B22-A20 B14-A21 B1-A22 A23-B33 B19-A24 B20-A25 B12-A26 B9-A27 A28-B21 A29-B31 B34-A30 A31-B13 A32-B18 B5-A33 B10-A34
第32轮 B5-A1 A2-B14 B28-A3 B2-A4 A5-B30 B10-A6 A7-B33 B31-A8 A9-B20 A10-B7 A11-B9 A12-B25 B26-A13 B6-A14 B22-A15 B15-A16 A17-B19 A18-B27 A19-B29 A20-B18 A21-B3 B24-A22 B12-A23 B4-A24 A25-B1 A26-B32 B16-A27 B8-A28 B34-A29 A30-B17 A31-B21 B13-A32 B23-A33 A34-B11
第33轮 B4-A1 B28-A2 A3-B17 A4-B21 B31-A5 B24-A6 B10-A7 B23-A8 B8-A9 A10-B3 B16-A11 A12-B32 A13-B19 A14-B34 B20-A15 A16-B13 B25-A17 A18-B6 B14-A19 A20-B15 A21-B7 A22-B27 B11-A23 B22-A24 A25-B2 B30-A26 A27-B12 B18-A28 A29-B9 B5-A30 B29-A31 A32-B33 A33-B26 A34-B1
第34轮 B3-A1 B11-A2 A3-B18 B13-A4 B10-A5 A6-B8 A7-B4 A8-B29 B5-A9 A10-B26 A11-B6 A12-B9 B16-A13 B27-A14 A15-B7 B22-A16 B30-A17 A18-B1 A19-B21 A20-B14 A21-B34 B33-A22 B2-A23 B31-A24 A25-B15 A26-B24 B28-A27 A28-B20 B12-A29 B23-A30 A31-B32 B25-A32 A33-B19 B17-A34

# Verification 验证
# ALL CHECKS PASSED 全部检查通过
# - All 1156 pairs exactly once / 全部1156对各一次
# - Each round: 17 A-first, 17 B-first / 每轮17名A执先17名B执先
# - Each player: first=17, second=17 / 每位队员执先17次执后17次
